name,birth,age,sport,event,team,medal,gender,full_name,height_cm,weight_kg,born_location,born_lat_lon,death,rank
Yadira Guam√É¬°n,1986-06-08,26,Athletics,Women's 20 kilometres Walk,Ecuador,,Female,Yadira Alexandra Guam√É¬°n Maza,158,52,"Timbara, Zamora-Chinchipe, Ecuador","-4.0319,-78.901909",,40
Guan Xin,1987-01-24,25,Basketball,Women's Basketball,China,,Female,Guan Xin,195,90,"Jilin, Jilin, China","43.837883,126.549572",,6
Gede√É¬≥n Guardiola,1984-10-01,27,Handball,Men's Handball,Spain,,Male,Gede√É¬≥n Guardiola Villaplana,199,105,"Petrer, Alicante, Spain","38.4807948,-0.7719244",,7
Sergey Gubaryov,1978-10-30,33,Water Polo,Men's Water Polo,Kazakhstan,,Male,Sergey Vladimirovich Gubaryov,183,93,"Bishkek, Bishkek, Kyrgyzstan","43.061667,74.478333",,11
Tania Guderzo,1984-08-22,27,Cycling,"Women's Road Race, Individual",Italy,,Female,"Tatiana ""Tania"" Guderzo",160,52,"Marostica, Vicenza, Italy","45.7459624,11.6583922",,30
Tania Guderzo,1984-08-22,27,Cycling,Women's Individual Time Trial,Italy,,Female,"Tatiana ""Tania"" Guderzo",160,52,"Marostica, Vicenza, Italy","45.7459624,11.6583922",,21
Daina Gudzinevi√Ñ¬çi√Ö¬´t√Ñ‚Äî,1965-12-23,46,Shooting,Women's Trap,Lithuania,,Female,Daina Gudzinevi√Ñ¬çi√Ö¬´t√Ñ‚Äî,178,76,"Vilnius, Vilnius, Lithuania","54.6871555,25.2796514",,14
Javier Gu√É¬©dez,1982-10-15,29,Judo,Men's Extra-Lightweight,Venezuela,,Male,Javier Antonio Gu√É¬©dez S√É¬°nchez,160,60,"Sucre, Zulia, Venezuela","9.2478619,-71.0497768",,9T
Antoinette Guedia,1995-10-21,16,Swimming,Women's 50 metres Freestyle,Cameroon,,Female,Antoinette Joyce Guedia Mouafo,170,55,"Douala, Littoral, Cameroon","4.05,9.7",,54
Floria Guei,1990-05-02,22,Athletics,Women's 4 x 400 metres Relay,France,,Female,Floria Guei,166,52,"Nantes, Loire-Atlantique, France","47.218371,-1.553621",,6
Christophe Gu√É¬©not,1979-01-07,33,Wrestling,"Men's Middleweight, Greco-Roman",France,,Male,Christophe Ren√É¬© Marcel Gu√É¬©not,178,74,"Saint-R√É¬©my, Sa√É¬¥ne-et-Loire, France","46.769418,4.828658",,8
Steeve Gu√É¬©not,1985-10-02,26,Wrestling,"Men's Welterweight, Greco-Roman",France,Bronze,Male,Steeve Fran√É¬ßois Fabien Gu√É¬©not,172,66,"Chalon-sur-Sa√É¬¥ne, Sa√É¬¥ne-et-Loire, Fran","46.7791156,4.8766128",,3T
Steve Guerdat,1982-06-10,30,Equestrianism,"Mixed Jumping, Individual",Switzerland,Gold,Male,Steve Guerdat,182,65,"Bassecourt, Jura, Switzerland","47.33899,7.24198",,1
Steve Guerdat,1982-06-10,30,Equestrianism,"Mixed Jumping, Team",Switzerland,,Male,Steve Guerdat,182,65,"Bassecourt, Jura, Switzerland","47.33899,7.24198",,4
Jos√É¬© Antonio Guerra,1979-08-09,32,Diving,Men's Platform,Cuba,,Male,Jos√É¬© Antonio Guerra Oliva,166,60,"Santiago de Cuba, Santiago de Cuba, Cuba","20.01693,-75.8301537",,5
Jos√É¬© Antonio Guerra,1979-08-09,32,Diving,Men's Synchronized Platform,Cuba,,Male,Jos√É¬© Antonio Guerra Oliva,166,60,"Santiago de Cuba, Santiago de Cuba, Cuba","20.01693,-75.8301537",,5
Lisandra Guerra,1987-10-31,24,Cycling,Women's Sprint,Cuba,,Female,Lisandra Guerra Rodriguez,166,57,"Matanzas, Matanzas, Cuba","23.051111,-81.575278",,6
Lisandra Guerra,1987-10-31,24,Cycling,Women's Keirin,Cuba,,Female,Lisandra Guerra Rodriguez,166,57,"Matanzas, Matanzas, Cuba","23.051111,-81.575278",,13T
Idrissa Gueye,1989-09-26,22,Football,Men's Football,Senegal,,Male,Idrissa Gana Gueye,174,66,"Bel-Air, Dakar, Senegal","14.701941,-17.4218455",,6
Magaye Gueye,1990-07-06,22,Football,Men's Football,Senegal,,Male,Magaye Serigne Falilou Dit Nelson Gueye,181,73,"Nogent-sur-Marne, Val-de-Marne, France","48.837631,2.481699",,6
Ndiatte Gueye,1985-01-19,27,Canoeing,"Men's Canadian Singles, 200 metres",Senegal,,Male,Ndiatte Gueye,185,75,"Dakar, Dakar, Senegal","14.7645042,-17.3660286",,22
Ndiatte Gueye,1985-01-19,27,Canoeing,"Men's Canadian Singles, 1,000 metres",Senegal,,Male,Ndiatte Gueye,185,75,"Dakar, Dakar, Senegal","14.7645042,-17.3660286",,13
Papa Gueye,1984-05-07,28,Football,Men's Football,Senegal,,Male,Papa Gueye,192,84,"Keur Moussa, Thi√É¬®s, Senegal","14.783297,-17.103327",,6
Isabel Guialo,1980-04-08,32,Handball,Women's Handball,Angola,,Female,Isabel Evelize Guialo,168,65,"Luanda, Luanda, Angola","-8.838333,13.234444",,10
Anatolie Guidea,1977-01-21,35,Wrestling,"Men's Lightweight, Freestyle",Bulgaria,,Male,Anatolie Ilarionovitch Guidea,165,60,"Nisporeni, Nisporeni, Moldova","47.0751349,28.1768155",,13
Emanuele Guidi,1969-09-16,42,Archery,Men's Individual,San Marino,,Male,Emanuele Guidi,175,80,"San Marino, Citt√É¬† di San Marino, San Ma",,,33T
Micha√É¬´l Guigou,1982-01-28,30,Handball,Men's Handball,France,Gold,Male,Micha√É¬´l Yves Robert Guigou,179,78,"Apt, Vaucluse, France","43.876452,5.395439",,1
Leandro Guilheiro,1983-08-07,28,Judo,Men's Half-Middleweight,Brazil,,Male,Leandro Marques Guilheiro,176,81,"Suzano, S√É¬£o Paulo, Brazil","-23.5453209,-46.311625",,7T
Olivier Guillon,1972-05-22,40,Equestrianism,"Mixed Jumping, Individual",France,,Male,Olivier Guillon,182,75,"Vernon, Eure, France","49.091958,1.488107",,12T
Olivier Guillon,1972-05-22,40,Equestrianism,"Mixed Jumping, Team",France,,Male,Olivier Guillon,182,75,"Vernon, Eure, France","49.091958,1.488107",,12
S√É¬ºmeyye G√É¬ºlec-Manz,1989-10-30,22,Taekwondo,Women's Flyweight,Germany,,Female,S√É¬ºmeyye G√É¬ºlec-Manz,155,49,"N√É¬ºrnberg, Bayern, Germany","49.45203,11.07675",,11T
Isabelle Gulld√É¬©n,1989-06-29,23,Handball,Women's Handball,Sweden,,Female,Isabelle Therese Gulld√É¬©n,179,75,"S√É¬§vedalen, Partille, V√É¬§stra G√É¬∂taland,","57.7179572,12.0825954",,11
Rattikan Gulnoi,1993-07-17,19,Weightlifting,Women's Lightweight,Thailand,,Female,Rattikan Gulnoi,155,58,"Bangkok, Krung Thep Maha Nakhon, Thailan","13.7278956,100.5241235",,4
Krista Guloien,1980-03-20,32,Rowing,Women's Coxed Eights,Canada,Silver,Female,Krista Guloien,177,73,"New Westminster, British Columbia, Canad","49.2057179,-122.910956",,2
Alisher Gulov,1989-08-24,22,Taekwondo,Men's Heavyweight,Tajikistan,,Male,Alisher Gulov,189,,"Dushanbe, Nohijahoi Tobei √É‚Ä°umhuri, Taji","38.536667,68.78",,7T
P√É¬©ter Guly√É¬°s,1984-03-04,28,Handball,Men's Handball,Hungary,,Male,P√É¬©ter Guly√É¬°s,200,102,"Veszpr√É¬©m, Veszpr√É¬©m, Hungary","47.1028087,17.9093019",,4
Esra G√É¬ºm√É¬º√Ö≈∏,1982-10-02,29,Volleyball,Women's Volleyball,Turkey,,Female,Esra G√É¬ºm√É¬º√Ö≈∏,181,76,"Ankara, Ankara, Turkey","39.92077,32.85411",,9T
Tony Gunawan,1975-04-09,37,Badminton,Men's Doubles,United States,,Male,Tony Gunawan,173,80,"Surabaya, Jawa Timur, Indonesia","-7.2642396,112.7455788",,13T
Buse G√É¬ºnayd√Ñ¬±n,1989-07-05,23,Swimming,Women's 100 metres Breaststroke,Turkey,,Female,Dilara Buse G√É¬ºnayd√Ñ¬±n,170,57,"G√É¬∂lc√É¬ºk, Kocaeli, Turkey","40.702207,29.8757349",,29
Buse G√É¬ºnayd√Ñ¬±n,1989-07-05,23,Swimming,Women's 200 metres Breaststroke,Turkey,,Female,Dilara Buse G√É¬ºnayd√Ñ¬±n,170,57,"G√É¬∂lc√É¬ºk, Kocaeli, Turkey","40.702207,29.8757349",,30
R√É¬≥bert Gunnarsson,1980-05-22,32,Handball,Men's Handball,Iceland,,Male,R√É¬≥bert Gunnarsson,190,100,"Reykjav√É¬≠k, H√É¬∂fu√É¬∞borgarsv√É¬¶√É¬∞i, Icelan","64.133333,-21.933333",,5
Loes Gunnewijk,1980-11-27,31,Cycling,"Women's Road Race, Individual",Netherlands,,Female,Loes Anna Gunnewijk,178,67,"Groenlo, Gelderland, Netherlands","52.0419627,6.6113711",,AC
Ella Gunson,1989-07-09,23,Hockey,Women's Hockey,New Zealand,,Female,Ella Gunson,162,62,"Whangarei, Northland, New Zealand","-35.7251117,174.323708",,4
Leena G√É¬ºnther,1991-04-16,21,Athletics,Women's 4 x 100 metres Relay,Germany,,Female,Leena G√É¬ºnther,163,53,"Cologne, Nordrhein-Westfalen, Germany","50.937531,6.9602786",,5
Max G√É¬ºnth√É¬∂r,1985-08-09,26,Volleyball,Men's Volleyball,Germany,,Male,Max G√É¬ºnth√É¬∂r,207,93,"Friedrichshafen, Baden-W√É¬ºrttemberg, Ger","47.671111,9.511389",,5T
Guo Ailun,1993-11-14,18,Basketball,Men's Basketball,China,,Male,Guo Ailun,192,85,"Anshan, Liaoning, China","41.108647,122.994329",,12
Guo Fan,1985-12-10,26,Athletics,Men's 4 x 100 metres Relay,China,,Male,Guo Fan,170,60,"Changle, Fujian, China","25.962888,119.523266",,5 h1 r1/2
Guo Shuang,1986-02-26,26,Cycling,Women's Sprint,China,Bronze,Female,Guo Shuang,170,70,"Nei Mongol, China","40.817498,111.765618",,3
Guo Shuang,1986-02-26,26,Cycling,Women's Keirin,China,Silver,Female,Guo Shuang,170,70,"Nei Mongol, China","40.817498,111.765618",,2
Guo Shuang,1986-02-26,26,Cycling,Women's Team Sprint,China,Silver,Female,Guo Shuang,170,70,"Nei Mongol, China","40.817498,111.765618",,2
Guo Weiyang,1988-02-01,24,Gymnastics,Men's Individual All-Around,China,,Male,Guo Weiyang,160,,"Guangdong, China","23.132191,113.266531",,29 r1/2
Guo Weiyang,1988-02-01,24,Gymnastics,Men's Team All-Around,China,Gold,Male,Guo Weiyang,160,,"Guangdong, China","23.132191,113.266531",,1
Guo Weiyang,1988-02-01,24,Gymnastics,Men's Floor Exercise,China,,Male,Guo Weiyang,160,,"Guangdong, China","23.132191,113.266531",,70 r1/2
Guo Weiyang,1988-02-01,24,Gymnastics,Men's Parallel Bars,China,,Male,Guo Weiyang,160,,"Guangdong, China","23.132191,113.266531",,53 r1/2
Guo Weiyang,1988-02-01,24,Gymnastics,Men's Horizontal Bar,China,,Male,Guo Weiyang,160,,"Guangdong, China","23.132191,113.266531",,18 r1/2
Guo Weiyang,1988-02-01,24,Gymnastics,Men's Rings,China,,Male,Guo Weiyang,160,,"Guangdong, China","23.132191,113.266531",,42 r1/2
Guo Weiyang,1988-02-01,24,Gymnastics,Men's Pommelled Horse,China,,Male,Guo Weiyang,160,,"Guangdong, China","23.132191,113.266531",,47 r1/2
Guo Wenjun,1984-06-22,28,Shooting,"Women's Air Pistol, 10 metres",China,Gold,Female,Guo Wenjun,168,65,"Xi\'an, Shanxi, China",,,1
Guo Yue,1988-07-17,24,Table Tennis,Women's Team,China,Gold,Female,Guo Yue,165,54,"Anshan, Liaoning, China","41.108647,122.994329",,1
Guo Zhendong,1984-08-04,27,Badminton,Men's Doubles,China,,Male,Guo Zhendong,178,73,"Hubei, China","30.546498,114.341862",,5T
Eduardo Gurbindo,1987-11-08,24,Handball,Men's Handball,Spain,,Male,Eduardo Gurbindo Mart√É¬≠nez,195,90,"Pamplona, Navarra, Spain","42.812526,-1.6457745",,7
Kemal Arda G√É¬ºrdal,1990-07-02,22,Swimming,Men's 100 metres Freestyle,Turkey,,Male,Kemal Arda G√É¬ºrdal,180,77,"√Ñ¬∞stanbul, √Ñ¬∞stanbul, Turkey","41.00527,28.97696",,27
Gizem G√É¬ºre√Ö≈∏en,1987-01-14,25,Volleyball,Women's Volleyball,Turkey,,Female,Gizem G√É¬ºre√Ö≈∏en,178,70,"Ankara, Ankara, Turkey","39.92077,32.85411",,9T
Elis Guri,1983-07-06,29,Wrestling,"Men's Heavyweight, Greco-Roman",Bulgaria,,Male,Elis Guri,188,96,"Shkod√É¬´r, Shkod√É¬´r, Albania","42.0692985,19.5032559",,7
Viktoriya Gurova,1982-05-22,30,Athletics,Women's Triple Jump,Russia,,Female,Viktoriya Vladimirovna Gurova (-Valyukev,178,63,"Shoshi, Krasnodar Kray, Russia","43.585278,39.720278",,8
Rokas Gu√Ö¬°√Ñ¬çinas,1991-01-06,21,Gymnastics,Men's Pommelled Horse,Lithuania,,Male,Rokas Gu√Ö¬°√Ñ¬çinas,172,,"Kaunas, Kaunas, Lithuania","54.8985207,23.9035965",,17 r1/2
Anna Guseva,1987-07-27,24,Swimming,Women's 10 kilometres Open Water,Russia,,Female,Anna Sergeyevna Guseva,169,62,"Moscow, Moskva, Russia","55.755826,37.6173",,10
Yuliya Gushchina,1983-03-04,29,Athletics,Women's 400 metres,Russia,,Female,Yuliya Aleksandrovna Gushchina,174,61,"Novocherkassk, Rostov, Russia","47.416667,40.083333",,4 h1 r2/3
Yuliya Gushchina,1983-03-04,29,Athletics,Women's 4 x 400 metres Relay,Russia,Silver,Female,Yuliya Aleksandrovna Gushchina,174,61,"Novocherkassk, Rostov, Russia","47.416667,40.083333",,2
Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,1995-02-01,17,Swimming,Women's 100 metres Backstroke,Iceland,,Female,Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,,,"Reykjav√É¬≠k, H√É¬∂fu√É¬∞borgarsv√É¬¶√É¬∞i, Icelan","64.133333,-21.933333",,32
Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,1995-02-01,17,Swimming,Women's 200 metres Backstroke,Iceland,,Female,Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,,,"Reykjav√É¬≠k, H√É¬∂fu√É¬∞borgarsv√É¬¶√É¬∞i, Icelan","64.133333,-21.933333",,20
Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,1995-02-01,17,Swimming,Women's 200 metres Individual Medley,Iceland,,Female,Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,,,"Reykjav√É¬≠k, H√É¬∂fu√É¬∞borgarsv√É¬¶√É¬∞i, Icelan","64.133333,-21.933333",,28
Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,1995-02-01,17,Swimming,Women's 4 x 100 metres Medley Relay,Iceland,,Female,Eygl√É¬≥ √É‚Äúsk G√É¬∫stafsd√É¬≥ttir,,,"Reykjav√É¬≠k, H√É¬∂fu√É¬∞borgarsv√É¬¶√É¬∞i, Icelan","64.133333,-21.933333",,15
Anders Gustafsson,1979-04-07,33,Canoeing,"Men's Kayak Singles, 1,000 metres",Sweden,,Male,Anders Karl Gustaf Gustafsson,192,90,"Hakarp, J√É¬∂nk√É¬∂ping, J√É¬∂nk√É¬∂ping, Sweden","57.2,13.5",,5
Mattias Gustafsson,1978-07-11,34,Handball,Men's Handball,Sweden,Silver,Male,Mattias Oskar Gustafsson,193,104,"√É‚Ä¶kersberga, √É‚Äìster√É¬•ker, Stockholm, Swe","59.481615,18.2677783",,2
Bj√É¬∂rgvin Gustavsson,1985-05-24,27,Handball,Men's Handball,Iceland,,Male,Bj√É¬∂rgvin P√É¬°ll Gustavsson,192,90,"Hvammstangi, Nor√É¬∞urland vestra, Iceland","65.4,-20.95",,5
Yevgeny Gutarovich,1983-11-29,28,Cycling,"Men's Road Race, Individual",Belarus,,Male,Yevgeny Eduardovich Gutarovich,179,71,"Minsk, Minsk, Belarus","53.4718561,27.6969909",,53
Allan Guti√É¬©rrez,1993-08-12,18,Swimming,Men's 400 metres Freestyle,Honduras,,Male,Allan Guti√É¬©rrez Castro,160,50,"San Pedro Sula, Cort√É¬©s, Honduras","15.5,-88.033333",,28
Juan Pedro Guti√É¬©rrez,1983-10-10,28,Basketball,Men's Basketball,Argentina,,Male,Juan Pedro Guti√É¬©rrez Llanas,204,112,"Nueve de Julio, Provincia de Buenos Aire","43.2617942,-2.9262561",,4
Leonardo Guti√É¬©rrez,1978-05-16,34,Basketball,Men's Basketball,Argentina,,Male,Leonardo Mart√É¬≠n Guti√É¬©rrez,200,105,"Mar del Plata, Provincia de Buenos Aires","-37.9798584,-57.5897942",,4
Aleksandr Gutor,1989-04-18,23,Football,Men's Football,Belarus,,Male,Aleksandr Petrovich Gutor,190,83,"Minsk, Minsk, Belarus","53.4718561,27.6969909",,10
Wojciech Gutorski,1982-05-25,30,Rowing,Men's Coxless Pairs,Poland,,Male,Wojciech Robert Gutorski,197,92,"Bydgoszcz, Kujawsko-Pomorskie, Poland","53.1234804,18.0084378",,10
Jwala Gutta,1983-09-07,28,Badminton,Mixed Doubles,India,,Female,Jwala Gutta,,,"Hyderabad, Andhra Pradesh, India","17.385044,78.486671",,13T
Jwala Gutta,1983-09-07,28,Badminton,Women's Doubles,India,,Female,Jwala Gutta,,,"Hyderabad, Andhra Pradesh, India","17.385044,78.486671",,8T
Astrid Guyart,1983-03-17,29,Fencing,"Women's Foil, Individual",France,,Female,Astrid Murielle Guyart,174,51,"Suresnes, Hauts-de-Seine, France","48.869798,2.219033",,10
Astrid Guyart,1983-03-17,29,Fencing,"Women's Foil, Team",France,,Female,Astrid Murielle Guyart,174,51,"Suresnes, Hauts-de-Seine, France","48.869798,2.219033",,4
Lionel Guyon,1968-06-05,44,Equestrianism,"Mixed Three-Day Event, Individual",France,,Male,Lionel Guyon,175,60,"Saint-Florent-des-Bois, Vend√É¬©e, France","46.593044,-1.3167549",,24
Lionel Guyon,1968-06-05,44,Equestrianism,"Mixed Three-Day Event, Team",France,,Male,Lionel Guyon,175,60,"Saint-Florent-des-Bois, Vend√É¬©e, France","46.593044,-1.3167549",,8
Sarah Guyot,1991-04-16,21,Canoeing,"Women's Kayak Fours, 500 metres",France,,Female,Sarah Guyot,176,68,"Vannes, Morbihan, France","47.658236,-2.760847",,8
Karen Milenka Torrez Guzman,1992-07-29,19,Swimming,Women's 100 metres Freestyle,Bolivia,,Female,Karen Milenka Torrez Guzman,,,"Cochabamba, Cochabamba, Bolivia","-17.383333,-66.166667",,37
Michela Guzzetti,1992-04-29,20,Swimming,Women's 100 metres Breaststroke,Italy,,Female,Michela Guzzetti,173,59,"Tradate, Varese, Italy","45.7115434,8.907067",,27
Michela Guzzetti,1992-04-29,20,Swimming,Women's 4 x 100 metres Medley Relay,Italy,,Female,Michela Guzzetti,173,59,"Tradate, Varese, Italy","45.7115434,8.907067",,11
Snorri Gu√É¬∞j√É¬≥nsson,1981-10-17,30,Handball,Men's Handball,Iceland,,Male,Snorri Steinn Gu√É¬∞j√É¬≥nsson,187,86,"Reykjav√É¬≠k, H√É¬∂fu√É¬∞borgarsv√É¬¶√É¬∞i, Icelan","64.133333,-21.933333",,5
Hrei√É¬∞ar Gu√É¬∞mundsson,1980-11-29,31,Handball,Men's Handball,Iceland,,Male,Hrei√É¬∞ar Lev√É¬Ω Gu√É¬∞mundsson,193,96,"Reykjav√É¬≠k, H√É¬∂fu√É¬∞borgarsv√É¬¶√É¬∞i, Icelan","64.133333,-21.933333",,5
Edwige Gwend,1990-03-11,22,Judo,Women's Half-Middleweight,Italy,,Female,Edwige Gwend,164,63,"Ed√É¬©a, Littoral, Cameroon","3.8,10.133333",,9T
Gwon Han-Na,1989-11-22,22,Handball,Women's Handball,South Korea,,Female,Gwon Han-Na,172,64,"Seoul, Seoul, South Korea","37.5103238,127.0610228",,4
Mathias Gydesen,1988-08-24,23,Swimming,Men's 100 metres Backstroke,Denmark,,Male,Mathias Gydesen,182,78,"Aller√É¬∏d, Hovedstaden, Denmark","55.8656692,12.3223097",,30
Kate Gynther,1982-07-05,30,Water Polo,Women's Water Polo,Australia,Bronze,Female,Kate Gynther,175,73,"Brisbane, Queensland, Australia","-27.4710107,153.0234489",,3
Mario Gyr,1985-05-02,27,Rowing,Men's Lightweight Coxless Fours,Switzerland,,Male,Mario-Elio Gyr,187,76,"Lucerne, Luzern, Switzerland","47.0500376,8.3089295",,5
Spas Gyurov,1986-02-07,26,Cycling,"Men's Road Race, Individual",Bulgaria,,Male,Spas Stamenov Gyurov,184,75,"Pazardzhik, Pazardzhik, Bulgaria","42.1927654,24.3335662",,AC
D√É¬°niel Gyurta,1989-05-04,23,Swimming,Men's 100 metres Breaststroke,Hungary,,Male,D√É¬°niel Gyurta,184,77,"Szombathely, Vas, Hungary","47.2306851,16.6218441",,4
D√É¬°niel Gyurta,1989-05-04,23,Swimming,Men's 200 metres Breaststroke,Hungary,Gold,Male,D√É¬°niel Gyurta,184,77,"Szombathely, Vas, Hungary","47.2306851,16.6218441",,1
D√É¬°niel Gyurta,1989-05-04,23,Swimming,Men's 4 x 100 metres Medley Relay,Hungary,,Male,D√É¬°niel Gyurta,184,77,"Szombathely, Vas, Hungary","47.2306851,16.6218441",,5
Gergely Gyurta,1991-09-12,20,Swimming,"Men's 1,500 metres Freestyle",Hungary,,Male,Gergely Gyurta,174,68,"Budapest, Budapest, Hungary","47.497912,19.040235",,12
Ha Jae-Min,1989-03-21,23,Sailing,Men's One Person Dinghy,South Korea,,Male,Ha Jae-Min,187,80,"Seoul, Seoul, South Korea","37.5103238,127.0610228",,24
Ha Jeong-Eun,1987-04-26,25,Badminton,Mixed Doubles,South Korea,,Female,Ha Jeong-Eun,173,66,"Busan, Busan, South Korea","35.114979,129.041549",,9T
Ha Jeong-Eun,1987-04-26,25,Badminton,Women's Doubles,South Korea,,Female,Ha Jeong-Eun,173,66,"Busan, Busan, South Korea","35.114979,129.041549",,AC
Ha Jun-Im,1989-12-26,22,Volleyball,Women's Volleyball,South Korea,,Female,Ha Jun-Im,189,74,"Seonsan, Gumi, Gyeongsangbuk, South Kore","36.243092,128.3077999",,4
Alex Haas,1995-02-11,17,Canoeing,"Men's Canadian Doubles, 1,000 metres",Australia,,Male,Alex Haas,171,63,"Brisbane, Queensland, Australia","-27.4710107,153.0234489",,11
Mandy Haase,1982-06-25,30,Hockey,Women's Hockey,Germany,,Female,Mandy Haase,164,58,"Leipzig, Sachsen, Germany","51.3396955,12.3730747",,7
Robin Haase,1987-04-06,25,Tennis,Men's Singles,Netherlands,,Male,Robin Haase,190,77,"Den Haag, Zuid-Holland, Netherlands","52.0704978,4.3006999",,33T
Robin Haase,1987-04-06,25,Tennis,Men's Doubles,Netherlands,,Male,Robin Haase,190,77,"Den Haag, Zuid-Holland, Netherlands","52.0704978,4.3006999",,17T
Ahmed Habash,1984-04-26,28,Sailing,Men's Windsurfer,Egypt,,Male,Ahmed Muhammad Ismail Kamil Habash,178,79,"Giza, Al-Jizah, Egypt","30.0130557,31.2088526",,38
Tino H√É¬§ber,1982-10-06,29,Athletics,Men's Javelin Throw,Germany,,Male,Tino H√É¬§ber,185,88,"Gera, Th√É¬ºringen, Germany","50.8850706,12.0807203",,8
Florencia Habif,1993-08-22,18,Hockey,Women's Hockey,Argentina,Silver,Female,Florencia Martina Habif,161,47,"Buenos Aires, Ciudad Aut√É¬≥noma de Buenos","-34.6176715,-58.3679466",,2
Halima Hachlaf,1988-09-06,23,Athletics,Women's 800 metres,Morocco,,Female,Halima Hachlaf,167,56,"Boumia, Mekn√É¬®s-Tafilalet, Morocco","32.716667,-5.1",,4 h2 r2/3
Hocine Haciane,1986-07-07,26,Swimming,Men's 200 metres Butterfly,Andorra,,Male,Hocine Haciane Constantin,171,68,"Andorra la Vella, Andorra la Vella, Ando","42.5063174,1.5218355",,37
Marcel Hacker,1977-04-29,35,Rowing,Men's Single Sculls,Germany,,Male,Marcel Hacker,196,102,"Magdeburg, Sachsen-Anhalt, Germany","52.1205333,11.6276237",,6
